kelompok_usia,jenis_kelamin,energi_kkal,protein_g,lemak_total_g,karbohidrat_g,serat_g,air_ml,vit_a_re,vit_d_mcg,vit_e_mcg,vit_b1_mg,vit_b2_mg,vit_b3_mg,vit_b6_mg,folat_mcg,vit_b12_mcg,vit_c_mg,kalsium_mg,fosfor_mg,magnesium_mg,besi_mg,seng_mg,kalium_mg,natrium_mg,satuan,sumber_data
10-12,L,2000.0,50.0,65.0,300.0,28.0,1850.0,600.0,15.0,11.0,1.1,1.3,12.0,1.3,400.0,3.5,50.0,1200.0,1250.0,160.0,8.0,8.0,3900.0,1300.0,per_hari,AKG_Kemenkes_2019
13-15,L,2400.0,70.0,80.0,350.0,34.0,2100.0,600.0,15.0,15.0,1.2,1.3,16.0,1.3,400.0,4.0,75.0,1200.0,1250.0,225.0,11.0,11.0,4800.0,1500.0,per_hari,AKG_Kemenkes_2019
16-18,L,2650.0,75.0,85.0,400.0,37.0,2300.0,700.0,15.0,15.0,1.2,1.3,16.0,1.3,400.0,4.0,90.0,1200.0,1250.0,270.0,11.0,11.0,5300.0,1700.0,per_hari,AKG_Kemenkes_2019
19-29,L,2650.0,65.0,75.0,430.0,37.0,2500.0,650.0,15.0,15.0,1.2,1.3,16.0,1.3,400.0,4.0,90.0,1000.0,700.0,360.0,9.0,11.0,4700.0,1500.0,per_hari,AKG_Kemenkes_2019
30-49,L,2550.0,65.0,70.0,415.0,36.0,2500.0,650.0,15.0,15.0,1.2,1.3,16.0,1.3,400.0,4.0,90.0,1000.0,700.0,360.0,9.0,11.0,4700.0,1500.0,per_hari,AKG_Kemenkes_2019
50-64,L,2150.0,65.0,60.0,340.0,30.0,2500.0,650.0,15.0,15.0,1.2,1.3,16.0,1.7,400.0,4.0,90.0,1200.0,700.0,360.0,9.0,11.0,4700.0,1300.0,per_hari,AKG_Kemenkes_2019
65-80,L,1800.0,64.0,50.0,275.0,25.0,1800.0,650.0,20.0,15.0,1.2,1.3,16.0,1.7,400.0,4.0,90.0,1200.0,700.0,350.0,9.0,11.0,4700.0,1100.0,per_hari,AKG_Kemenkes_2019
>80,L,1600.0,64.0,45.0,235.0,22.0,1600.0,650.0,20.0,15.0,1.2,1.3,16.0,1.7,400.0,4.0,90.0,1200.0,700.0,350.0,9.0,11.0,4700.0,1000.0,per_hari,AKG_Kemenkes_2019
10-12,P,1900.0,55.0,65.0,280.0,27.0,1850.0,600.0,15.0,15.0,1.0,1.0,12.0,1.2,400.0,3.5,50.0,1200.0,1250.0,170.0,8.0,8.0,4400.0,1400.0,per_hari,AKG_Kemenkes_2019
13-15,P,2050.0,65.0,70.0,300.0,29.0,2100.0,600.0,15.0,15.0,1.1,1.0,14.0,1.2,400.0,4.0,65.0,1200.0,1250.0,220.0,15.0,9.0,4800.0,1500.0,per_hari,AKG_Kemenkes_2019
16-18,P,2100.0,65.0,70.0,300.0,29.0,2150.0,600.0,15.0,15.0,1.1,1.0,14.0,1.2,400.0,4.0,75.0,1200.0,1250.0,230.0,15.0,9.0,5000.0,1600.0,per_hari,AKG_Kemenkes_2019
19-29,P,2250.0,60.0,65.0,360.0,32.0,2350.0,600.0,15.0,15.0,1.1,1.1,14.0,1.3,400.0,4.0,75.0,1000.0,700.0,330.0,18.0,8.0,4700.0,1500.0,per_hari,AKG_Kemenkes_2019
30-49,P,2150.0,60.0,60.0,340.0,30.0,2350.0,600.0,15.0,15.0,1.1,1.1,14.0,1.3,400.0,4.0,75.0,1000.0,700.0,340.0,18.0,8.0,4700.0,1500.0,per_hari,AKG_Kemenkes_2019
50-64,P,1800.0,60.0,50.0,280.0,25.0,2350.0,600.0,15.0,15.0,1.1,1.1,14.0,1.5,400.0,4.0,75.0,1200.0,700.0,340.0,8.0,8.0,4700.0,1400.0,per_hari,AKG_Kemenkes_2019
65-80,P,1550.0,58.0,45.0,230.0,22.0,1550.0,600.0,20.0,20.0,1.1,1.1,14.0,1.5,400.0,4.0,75.0,1200.0,700.0,320.0,8.0,8.0,4700.0,1200.0,per_hari,AKG_Kemenkes_2019
>80,P,1400.0,58.0,40.0,200.0,20.0,1400.0,600.0,20.0,20.0,1.1,1.1,14.0,1.5,400.0,4.0,75.0,1200.0,700.0,320.0,8.0,8.0,4700.0,1000.0,per_hari,AKG_Kemenkes_2019
